resp,S1,S2,S3
0,3,2,1
0,4,2,1
1,1,2,5
0,6,2,1
0,7,2,1
1,1,2,8
1,4,3,1
0,1,3,5
0,6,3,1
1,1,3,7
0,8,3,1
1,5,4,1
0,1,4,6
0,1,4,7
1,8,4,1
0,1,5,6
1,7,5,1
0,1,5,8
1,7,6,1
0,1,6,8
0,1,7,8
0,2,3,4
1,5,3,2
1,2,3,6
0,7,3,2
1,2,3,8
0,2,4,5
0,6,4,2
1,2,4,7
1,2,4,8
0,2,5,6
1,7,5,2
1,8,5,2
1,7,6,2
1,8,6,2
0,2,7,8
1,5,4,3
1,6,4,3
0,3,4,7
1,8,4,3
1,6,5,3
1,7,5,3
1,8,5,3
0,3,6,7
0,3,6,8
1,8,7,3
0,4,5,6
1,7,5,4
1,8,5,4
1,7,6,4
0,4,6,8
0,4,7,8
1,7,6,5
1,8,6,5
1,8,7,5
1,6,7,8
