resp,S1,S2,S3
0,3,2,1
1,1,2,4
1,1,2,5
0,6,2,1
0,7,2,1
1,1,2,8
1,1,3,4
0,5,3,1
0,6,3,1
0,7,3,1
1,1,3,8
0,1,4,5
1,6,4,1
0,1,4,7
0,1,4,8
1,6,5,1
1,7,5,1
0,1,5,8
1,7,6,1
1,8,6,1
1,8,7,1
1,4,3,2
0,5,3,2
0,6,3,2
0,7,3,2
0,8,3,2
0,2,4,5
0,2,4,6
0,2,4,7
0,2,4,8
1,6,5,2
1,7,5,2
1,8,5,2
0,2,6,7
0,2,6,8
1,8,7,2
0,3,4,5
1,6,4,3
0,3,4,7
0,3,4,8
0,3,5,6
1,7,5,3
1,8,5,3
1,7,6,3
1,8,6,3
0,3,7,8
1,6,5,4
0,4,5,7
0,4,5,8
1,7,6,4
0,4,6,8
1,8,7,4
0,5,6,7
0,5,6,8
1,8,7,5
1,8,7,6
